"Название курса";"Количество файлов";"Заполненность (%)"
"Гражданское право";0;0%
"Методология научно-педагогического исследования";0;0%
"Социально-педагогическая работа с семьей";0;0%
"Первая технологическая";0;0%
"Актуальные вопросы доступа к правосудию в Республике Беларусь";0;0%
"Мировая культура / Риторика";0;0%
"Теория и методика спортивной подготовки в избранном виде спорта (хоккей)";0;0%
"Проектирование транспортных средств";0;0%
"Современные принципы комплексного формирования внутренних архитектурных простран";0;0%
"Системы автоматизированного проектирования химических производств";0;0%
"Программирование мобильных информационных систем";0;0%
"Курсовая работа по одной из дисциплин: 1.4";0;0%
"Модуль ""История искусства""";0;0%
"Первая конструкторско-технологическая";0;0%
"Курсовой проект по учебной дисциплине ""Конструкции из дерева и пластмасс""";0;0%
"Диагностирование оборудования в особых условиях";0;0%
"Модуль ""Профессиональная коммуникация""";0;0%
"История общественно-политической и философской мысли Беларуси";0;0%
"Курсовой проект по разделу ""Проектирование комплексных объектов""";0;0%
"Эффективные строительные композиты для 3D аддитивных технологий";0;0%
"Майнор: Подготовка нефти к транспортировке";0;0%
"Модуль ""Инженерная геодезия"" / Модуль ""Геодезическое обеспечение кадастра""";0;0%
"Методология исторического исследования";0;0%
"Курсовая работа по учебной дисциплине ""Основы водопользования""";0;0%
"Тестирование программного обеспечения и веб-ориентированных приложений";0;0%
"История литературы страны изучаемого языка XVIII века";0;0%
"Информационные технологии в переводе";0;0%
Интернет-маркетинг;0;0%
"Курсовой проект по учебной дисциплине ""Системы управления базами данных""";0;0%
"Качество электроэнергии";0;0%
"Основы защиты информации";0;0%
"Электрофизические измерения";0;0%
Бюджетирование;0;0%
"Курсовая работа по учебной дисциплине ""Схемотехника цифровых устройств""";0;0%
"Компьютерный анализ данных";0;0%
"Специализированный модуль 1 / Специализированный модуль 2";0;0%
"Основы экономической безопасности";0;0%
Эконометрика;0;0%
"Методология бизнес-исследований";0;0%
"Инновационные процессы в финансовом образовании";0;0%
"Профессиональная этика и служебный этикет";0;0%
"Курсовая работа 6";0;0%
"Управленческий учет и контроллинг";0;0%
"Модуль ""Культура общения"" (на втором иностранном языке)";0;0%
"Профессиональное развитие личности педагога-исследователя";0;0%
"Насосы и воздуходувные станции";0;0%
"Уголовное право";0;0%
"Теоретические основы математического развития детей дошкольного возраста";0;0%
"Основы атлетизма";0;0%
"Курсовой проект по учебной дисциплине ""Проектирование предприятий автосервиса""";0;0%
"Технологии полиграфии / Режиссура мультимедиа";0;0%
"Общая химическая технология";0;0%
"Психодиагностика психического развития подростков и юношей";0;0%
Рисунок;0;0%
"Аддитивные технологии в машиностроительном производстве";0;0%
Электротехника;0;0%
"Моделирование нефтехимических процессов и оборудования";0;0%
"Двумерная визуализация";0;0%
"Архитектурная эргономика";0;0%
"Системы управления технологическим оборудованием";0;0%
"Современные подходы к анализу строительных конструкций и методам их расчета";0;0%
"Курсовой проект по учебной дисциплине ""Машины и оборудование газонефтепроводов""";0;0%
"Курсовая работа по учебной дисциплине ""Прикладная фотограмметрия""";0;0%
"Белорусское общество в годы Великой Отечественной войны";0;0%
"Курсовой проект по учебной дисциплине ""Теплогенерирующие установки""";0;0%
"Основы бизнеса и права в сфере инфокоммуникационных технологий";0;0%
"Курсовая работа по учебной дисциплине ""Проектирование программируемых мобильных ";0;0%
"Институционализация исторической науки Беларуси";0;0%
"Правовое регулирование систем управления персоналом";0;0%
"Инвестиционный анализ";0;0%
"Культура страны изучаемого языка";0;0%
"Количественная и качественная обработка данных психолого-педагогических исследов";0;0%
"Основы инновационной деятельности в проектировании и строительстве систем водосн";0;0%
"Правовой режим природных ресурсов";0;0%
"Организация театральной деятельности детей дошкольного возраста";0;0%
Биомеханика;0;0%
"Техническое состояние автомобилей";0;0%
Макетирование;0;0%
"Информационные технологии в процессах нефтехимии";0;0%
Психодиагностическая;0;0%
"История интерьера";0;0%
"Развитие систем и методов управления качеством продукции машиностроения";0;0%
"Информационное моделирование зданий и сооружений";0;0%
"Нефтяные дисперсные системы";0;0%
"Курсовой проект по учебной дисциплине ""Разработка игровых приложений под мобильн";0;0%
"Историческое краеведение Беларуси";0;0%
"Нормативно-правовая документация в архитектуре и строительстве";0;0%
Общеинженерная;0;0%
"Курсовой проект по учебной дисциплине «Новые методы и технологии в проектировани";0;0%
"Сварка трубопроводов";0;0%
"Математическая картография";0;0%
"Преддипломная (исследовательская)";0;0%
Организационно-технологическая;0;0%
"Прикладные системы обработки данных";0;0%
"Алгоритмы и структуры данных";0;0%
"Практическая фонетика";0;0%
"Методология и инструменты программной инженерии";0;0%
"Массовые коммуникации";0;0%
"Программно-аппаратные и технические средства защиты информации";0;0%
"Проектирование программно-управляемых электронных средств";0;0%
"Основы векторного и тензорного анализа";0;0%
"Технология производства программно-управляемых электронных средств";0;0%
"Теория и практика страхования";0;0%
"Численное моделирование в физике";0;0%
"Основы права";0;0%
"Моделирование и проектирование логистических систем";0;0%
"Теория финансов";0;0%
"Институциональный анализ / Управленческая экономика";0;0%
"Макроэкономический анализ и политика";0;0%
"Теория и практика доказывания в уголовном процессе";0;0%
"Таможенное право";0;0%
"Основы коммуникативного дизайна";0;0%
"Методика организации работы в летних лагерях";0;0%
Водоподготовка;0;0%
"Товароведение и товарная номенклатура внешнеэкономической деятельности";0;0%
"Отечественная детская литература";0;0%
"Современные концепции и методы управления персоналом / Технологии работы педагог";0;0%
"Электрооборудование автомобилей";0;0%
"Основы научной и инновационной деятельности";0;0%
"Нормативное правовое обеспечение деятельности социально-педагогической и психоло";0;0%
"Информационные технологии и математическая статистика в физической культуре и сп";0;0%
"Электрические подстанции и тяговые сети";0;0%
"Научно-исследовательский семинар ""Освоение начальных навыков написания магистерс";0;0%
"Курсовая работа по учебной дисциплине ""Химия нефти и газа""";0;0%
"Веб-дизайн и шаблоны проектирования";0;0%
"Основы фонологии";0;0%
"Архитектурная графика";0;0%
"Курсовой проект по учебной дисциплине ""Основы технологии машиностроения""";0;0%
"Инжиниринг деятельности заказчика-застройщика";0;0%
"Психология управления производственным персоналом";0;0%
"Технологии разработки корпоративных систем / Современные технологии программиров";0;0%
"История южных и западных славян";0;0%
"Компьютерные технологии (Векторные и растровые редакторы)";0;0%
"Теплогенерирующие источники, системы обеспечения тепловой энергией и газовым топ";0;0%
"Программирование на языке высокого уровня";0;0%
"Методы и средства радиоэлектронных технологий";0;0%
"Проект-менеджмент в историческом образовании и науке";0;0%
"Общая теория интеллектуальных систем";0;0%
"Теория и практика перевода";0;0%
"Интерпретация текста (на базе первого иностранного языка)";0;0%
"Операционные системы";0;0%
"История техники";0;0%
"Курсовая работа по учебной дисциплине ""Программное обспечение и САПР в системах ";0;0%
"Технология обработки древесины";0;0%
"Технологии разработки инфокоммуникационных систем на микроконтроллерах и сигналь";0;0%
"Анализ хозяйственной деятельности в отраслях экономики";0;0%
"Курсовой проект по учебной дисциплине ""Микропроцессорные системы управления"" / К";0;0%
"Интернет-маркетинг и основы веб-аналитики";0;0%
"Курсовой проект по учебной дисциплине «Веб-графика»";0;0%
"Экономический анализ и оценка экономической безопасности предприятия";0;0%
"Бюджетный учет и отчетность / Бухгалтерский учет в банках";0;0%
"Информационные технологии в юридической деятельности";0;0%
"Рекламный менеджмент";0;0%
"Основы публичного выступления (на базе первого иностранного языка)";0;0%
"Криптографические методы";0;0%
"Художественная обработка материалов (технологический уровень)";0;0%
"Релейная защита и автоматика систем электроснабжения";0;0%
"Художественная обработка материалов";0;0%
"Теория системного анализа и принятия решений в инфокоммуникациях";0;0%
"Планирование логистической деятельности";0;0%
"Курсовой проект по учебной дисциплине ""Системы автоматизированного проектировани";0;0%
"Рисковые и кризисные коммуникации";0;0%
"Информационные ресурсы организации";0;0%
"Курсовая работа по учебной дисциплине ""Риск-менеджмент""";0;0%
"Курсовая работа по учебной дисциплине ""Финансово-экономический анализ деятельнос";0;0%
"Безопасность жизнедеятельности человека. Защита населения и объектов от чрезвыча";0;0%
"Анализ хозяйственной деятельности";0;0%
"Педагогическая этика";0;0%
"Юридическая психология договорной работы";0;0%
"Немецкий язык / Французский язык";0;0%
"Психологическая коррекция";0;0%
Материаловедение;0;0%
"Современные проблемы и методология юридической науки";0;0%
"Основы художественной обработки материалов / Технологии организации продуктивных";0;0%
"Спортивная метрология";0;0%
"Средства технологического оснащения организаций обслуживающих предприятий";0;0%
"Курсовая работа по учебной дисциплине ""Информатика и компьютерное проектирование";0;0%
"Информационные технологии в процессах нефтепереработки";0;0%
"Практикум по оказанию психологической помощи в трудных жизненных ситуациях";0;0%
"Современные художественные практики / Философия творчества";0;0%
"Типовые операции механосборочных процессов*";0;0%
"Курсовой проект по учебной дисциплине ""Организация и управление в строительстве""";0;0%
"Защита нефтегазоперерабатывающего оборудования от коррозии";0;0%
"Перспективные направления объектно-ориентированного программирования";0;0%
"Личностно-профессиональное развитие специалиста";0;0%
"Организация проектирования и строительства";0;0%
"Методология научного исследования";0;0%
"Основы энергосбережения и энергоаудит";0;0%
"Современные методы математической обработки и проектирования геодезических сетей";0;0%
"Историография истории Беларуси";0;0%
"Системы водоснабжения и водоотведения объектов индивидуального строительства";0;0%
"Разработка и анализ требований";0;0%
"Модуль ""Основной иностранный язык. Уровень 3""";0;0%
"Правовые и политические идеи в зарубежной литературе / Эстетические идеи в заруб";0;0%
"Язык Python в промышленном окружении";0;0%
"Безопасность информационных систем";0;0%
"Конструкционные материалы";0;0%
"Физика атома и атомных явлений";0;0%
"Физика энерго- и массопереноса";0;0%
"Курсовая работа по одной из учебных дисциплин ""Финансовый менеджмент"", ""Рисколог";0;0%
"Аналоговая схемотехника";0;0%
Интернет-коммуникации;0;0%
"Информационные системы управления бизнесом";0;0%
"Стратегическое управление логистикой";0;0%
"Международная экономика";0;0%
"Прикладные количественные методы в управлении";0;0%
"Современные концепции финансов и кредита";0;0%
"Этика и цифровые технологии / GR-менеджмент в условиях цифровизации";0;0%
Профессионально-ориентированная;0;0%
"Проектирование информационных систем";0;0%
"Ознакомительная по специальности";0;0%
"Курсовая работа по учебной дисциплине ""Организация производства строительно-монт";0;0%
"Модуль ""Международно-правовой""";0;0%
"Методика физического воспитания и развития детей дошкольного возраста";0;0%
"Основы фитнеса / Бадминтон";0;0%
"Восстановление деталей автомобилей";0;0%
"Графический дизайн в мультимедиа";0;0%
"Расчет и конструирование машин и агрегатов";0;0%
"Психодиагностика психического развития ребёнка";0;0%
"История дизайна";0;0%
"Инвестиционное проектирование и бизнес-планирование в инновационном машиностроен";0;0%
"Строительное материаловедение";0;0%
"Курсовой проект по учебной дисциплине ""САПР машин и оборудования""";0;0%
"Курсовой проект по учебной дисциплине ""Разработка клиентской части веб-приложени";0;0%
"История архитектуры и градостроительства";0;0%
"Технология обработки на станках с ЧПУ";0;0%
"Нагрузки и воздействия, общие положения расчета конструкций";0;0%
"Курсовая работа по учебной дисциплине ""Строительные конструкции""";0;0%
"Основы инженерных изысканий";0;0%
"Становление белорусской государственности в ХХ в.";0;0%
"Теплогенерирующие установки";0;0%
"Структурная и функциональная организация вычислительных машин";0;0%
"Организация и проектирование децентрализованных электронных мобильных систем";0;0%
"Народ и власть на пограничной территории БССР и РСФСР в 1941-1944 гг. / Белорусс";0;0%
"Естественно-языковой интерфейс интеллектуальных систем";0;0%
"Основной иностранный язык для специальных целей";0;0%
"Модуль ""Перевод""";0;0%
"Методика организации воспитательной работы в летних лагерях";0;0%
"Архитектоника объемных форм";0;0%
"Система качества в технической эксплуатации автомобилей";0;0%
"Металлические конструкции";0;0%
"Интеллектуальная собственность и инновации";0;0%
"Разработка кросс-платформенных приложений";0;0%
"Социальные основы архитектурного проектирования";0;0%
"Теория резания и режущий инструмент";0;0%
"Курсовой проект по учебной дисциплине «Современные методы исследования и проекти";0;0%
"Курсовой проект по учебной дисциплине ""Системы газонефтеснабжения""";0;0%
Гравиметрия;0;0%
Экскурсоведение;0;0%
"Менеджмент / Психология труда";0;0%
"Курсовой проект по модулю ""Компьютерные сети""";0;0%
"Программное обеспечение децентрализованных мобильных систем";0;0%
"Великая Отечественная война советского народа (в контексте Второй мировой войны)";0;0%
"Теоретическая электротехника";0;0%
"Ознакомительная по межкультурной коммуникации";0;0%
"Защита информации в операционных системах и компьютерных сетях";0;0%
"Технология рекламы";0;0%
"Электронные компоненты";0;0%
"Основы ценообразования и бизнес-планирования";0;0%
"Физический практикум: оптика";0;0%
"Основы эколого-энергетической устойчивости";0;0%
"Курсовая работа по учебной дисциплине ""Международная логистика""";0;0%
"Персональный брендинг и самопрезентация / Ведение переговоров и деловое общение";0;0%
"Технологии интеллектуального анализа данных";0;0%
"Особенности учета активов, капитала, обязательств, доходов и расходов согласно М";0;0%
"Уголовное право стран-участниц ЕАЭС";0;0%
"Прикладные программные продукты в экономике и управлении";0;0%
"Методика преподавания иностранных языков";0;0%
"Водозаборные сооружения";0;0%
"Теория государственного управления";0;0%
Научно-исследовательская;0;0%
"Основы организационной психолингвистики";0;0%
"Эксплуатационные материалы";0;0%
"Автоматизация средств технологического оснащения для трехмерных технологий";0;0%
"История психологии";0;0%
"Преддипломная по профилизации";0;0%
"Техническое обслуживание электрических и автономных транспортных средств";0;0%
"Курсовая работа по учебной дисциплине ""Инноватика""";0;0%
"Охрана труда и промышленная безопасность";0;0%
"Основы машинного обучения";0;0%
"Основы управлением учреждением дошкольного образования";0;0%
"Художественные концепции в предметно-пространственной среде";0;0%
"Режущий инструмент";0;0%
"1-я технологическая";0;0%
"Правовая защита работающих / Системы с биологической обратной связью";0;0%
"Специальная математическая подготовка";0;0%
"Современная политэкономия";0;0%
"Курсовая работа по учебной дисциплине ""Интерьер и предметный дизайн""";0;0%
"Инновационные технологии при водоподготовке для питьевых и промышленных целей";0;0%
"Дискретная математика";0;0%
"Теория электрических цепей";0;0%
"Технологии креативного образования в высшей школе / Педагогика и психология высш";0;0%
"Курсовой проект по учебной дисциплине ""Сети водоотведения""";0;0%
"Алгоритмы компьютерной графики / Цифровая обработка изображений";0;0%
"Зарубежная литература XX-XXI веков";0;0%
"Прагматические аспекты перевода";0;0%
Криптотехнологии;0;0%
"Основы педагогики и психологии";0;0%
"Курсовой проект по учебной дисциплине ""Потребители электроэнергии""";0;0%
"Программные методы автоматизации эксперимента";0;0%
"Функциональная электроника / Интеллектуальные микроконтроллерные системы";0;0%
"Бухгалтерская отчетность";0;0%
"Типовые компоненты и датчики контрольно-диагностических систем";0;0%
"Основы журналистики / Электоральные исследования";0;0%
"Корпоративная социальная ответственность";0;0%
"Курсовая работа по учебной дисциплине ""Бизнес-планирование""";0;0%
"Международные стандарты финансовой отчетности";0;0%
"Инновационные образовательные технологии / Педагогика и психология высшего образ";0;0%
Интернет-предпринимательство;0;0%
Страноведение;0;0%
"Юридическая техника";0;0%
"Социальное предпринимательство / Социальные коммуникации";0;0%
"Современная белорусская литература";0;0%
"Социальная педагогика";0;0%
"Курсовой проект по учебной дисциплине ""Водоснабжение промышленных предприятий""";0;0%
"Таможенная статистика";0;0%
"Методика экологического воспитания детей дошкольного возраста";0;0%
"Плавание и методика преподавания";0;0%
"Курсовой проект по учебной дисциплине ""Средства технологического оснащения автос";0;0%
"Информационная графика / Моушн-дизайн";0;0%
"Технология нефтеперерабатывающих и нефтехимических производств";0;0%
"Метрология и измерения";0;0%
"Аудиовизуальные технологии";0;0%
"Экономика организаций сектора информационно-коммуникационных технологий";0;0%
"Эконометрика и прогнозирование";0;0%
"Производственные технологии в промышленности";0;0%
"Административно-деликтное и процессуально-исполнительное право";0;0%
"Курсовая работа по модулю ""Планирование и управление организацией”";0;0%
"Теория и практика транскодирования";0;0%
"Культурология / Социология";0;0%
"Антикризисное управление";0;0%
"Модуль ""Основной иностранный язык - 2""";0;0%
"Психологическая диагностика";0;0%
Производственная;0;0%
"Таможенное право зарубежных стран";0;0%
"Педагогическая психология";0;0%
"Государственный экзамен по специализации";0;0%
"Техническое обслуживание автомобилей";0;0%
"Декоративные техники в дизайн-интерьере";0;0%
"Курсовая работа по учебной дисциплине ""Прикладная механика""";0;0%
"Противодействие домашнему насилию";0;0%
"История зарубежного изобразительного искусства";0;0%
"Развитие систем и методов управления качеством продукции машиностроения / ТРИЗ. ";0;0%
"Курсовой проект по учебной дисциплине ""Железобетонные и каменные конструкции""";0;0%
"Методы диагностики состояния деталей и узлов технологического оборудования химич";0;0%
"Цифровое право";0;0%
"Латинский язык";0;0%
"Раздел ""Проектирование общественных зданий""";0;0%
"Курсовая работа по учебной дисциплине ""Механика материалов аддитивного синтеза""";0;0%
"2-я научно-исследовательская";0;0%
"Системы электрохимической защиты объектов в трубопроводном транспорте";0;0%
"Высшая геодезия и основы координатно-временных систем";0;0%
Педагогика;0;0%
"Охрана труда в строительстве";0;0%
"Курсовой проект по учебной дисциплине ""Компьютерные системы и сети""";0;0%
"Практическая грамматика";0;0%
"Связи с общественностью / Социология общественного мнения";0;0%
"Python для автоматизации рутинных задач";0;0%
"По программированию";0;0%
"Курсовой проект по учебной дисциплине ""Программирование и техническая эксплуатац";0;0%
"Теория функций комплексной переменной";0;0%
"Волоконно-оптические линии и системы передачи";0;0%
"Экономическая безопасность";0;0%
"Конфликтология / Основы самопрезентации";0;0%
"Модуль ""Социология и социальная психология""";0;0%
"Курсовая работа по учебной дисциплине «Макроэкономика»";0;0%
"Международные стандарты аудиторской деятельности";0;0%
"Деньги, кредит, банки";0;0%
"Экономическая безопасность государства и бизнеса";0;0%
"Учет и аудит природного капитала";0;0%
"Медиация и альтернативное разрешение споров";0;0%
"Курсовая работа 3";0;0%
"Маркетинговые исследования";0;0%
"Язык СМИ / Лингвистический анализ текста";0;0%
"Курсовая работа по учебной дисциплине ""Экономика предприятия водопроводно-канали";0;0%
"Специализация 1-96 01 01 01 ""Правовое обеспечение таможенной деятельности"" / Спе";0;0%
"Дошкольная педагогика";0;0%
"Спортивные и подвижные игры и методика преподавания";0;0%
"Экология и ресурсосбережение на автомобильном транспорте";0;0%
"Защита металлов от коррозии";0;0%
"Социальная психология";0;0%
"Антидопинговая политика в современном спорте / Программирование спортивной трени";0;0%
"Развитие САПР технологических процессов";0;0%
Химия;0;0%
"Курсовой проект по учебной дициплине ""Технология переработки нефти и газа""";0;0%
"Введение в проектную деятельность";0;0%
"Основы медицинских знаний";0;0%
"Архитектурные конструкции";0;0%
"Курсовой проект по учебной дисциплине ""Технология машиностроения""";0;0%
"Планирование эксперимента и статистическая обработка экспериментальных данных";0;0%
"Инновационные технологии обеспечения экологической и промышленной безопасности т";0;0%
"Теория математической обработки геодезических измерений";0;0%
"История Беларуси новейшего времени";0;0%
"Водоснабжение и водоотведение";0;0%
Схемотехника;0;0%
"Микропроцессорные устройства для мобильных систем";0;0%
"Модернизационные процессы в Беларуси";0;0%
"Объектное моделирование интеллектуальных систем";0;0%
"Практикум второго иностранного языка";0;0%
"Система управления контентом";0;0%
"Промышленное программирование";0;0%
"Учебно-технологическая (базовый уровень)";0;0%
"Электромеханические переходные процессы";0;0%
"Создание и использование электронных образовательных ресурсов";0;0%
"Модуль ""Распределенные инфокоммуникационные системы"" / Модуль ""Системы и сети ра";0;0%
"Технология обработки учетно-аналитической информации / Бухгалтерский учет в сист";0;0%
"Программирование для Интернет";0;0%
"Метрология, стандартизация и сертификация (в радиоэлектронике)";0;0%
"Методологические основы преподавания истории в высшей школе";0;0%
"Инженерная компьютерная графика";0;0%
"Введение в теорию коммуникации";0;0%
"Курсовая работа по учебной дисциплине ""Цифровая обработка сигналов и компьютерна";0;0%
"Правовые основы предпринимательской деятельности";0;0%
"Курсовая работа по учебной дисциплине ""Программное обеспечение и САПР в системах";0;0%
"Элементарная физика";0;0%
"Курсовая работа о учебной дисциплине ""Информатика""";0;0%
"Логистика складирования";0;0%
"Технология производства деталей электронных средств";0;0%
"Поведение потребителей";0;0%
"Моделирование и оптимизация бизнес-процессов";0;0%
"Аудиторское заключение: порядок составления по национальным и международным стан";0;0%
"Государственная политика и управление / Политическая коммуникация";0;0%
"Стратегический менеджмент";0;0%
"Практикум по орфографии и пунктуации (на базе первого иностранного языка)";0;0%
"Правоохранительные органы";0;0%
"Основы инновационных технологий в обучении";0;0%
"Психология профессиональной деятельности и профессионального консультирования";0;0%
"Теория механизмов и машин";0;0%
Конструкторско-технологическая;0;0%
"Источники правового регулирования в сфере цифровой экономики";0;0%
"Основы управления учреждением дошкольного образования";0;0%
"Туристско-оздоровительная деятельность";0;0%
"Производство транспортных средств";0;0%
"Современные тенденции развития архитектуры, градостроительства и дизайна";0;0%
"Технология переработки нефти и газа";0;0%
"Программирование сетевых приложений";0;0%
"Методика ознакомления детей дошкольного возраста с природой";0;0%
"Охрана труда и техника безопасности";0;0%
"Проектирование и производство заготовок";0;0%
"Курсовой проект по учебной дисциплине ""Управление проектами в строительстве""";0;0%
"Курсовой проект по дисциплине «Сооружение линейных объектов систем транспортиров";0;0%
"Публичные выступления и навыки общения";0;0%
"История средних веков";0;0%
"Охрана труда и пожарная безопасность";0;0%
"Современные методы эксплуатации систем водоснабжения и водоотведения / Современн";0;0%
"Майнор: Локализация и ликвидация аварийных разливов нефти";0;0%
"Современные технологии производства землеустроительных работ";0;0%
"Модернизационные процессы в новое и новейшее время";0;0%
"Основы водопользования";0;0%
"Курсовая работа по учебной дисциплине ""Современные платформы программирования""";0;0%
"Курсовая работа ""История литературы страны изучаемого языка""";0;0%
"Коммуникативная грамматика II";0;0%
"Компьютерное зрение и графика / Визуализация данных";0;0%
"Методы и стандарты оценки защищенности компьютерных систем";0;0%
"Курсовая работа по учебной дисциплине ""Теплоэнергетические процессы и установки""";0;0%
"Основы квантовой механики";0;0%
"Встраиваемые системы";0;0%
"Концептуальные основы МСФО / Концептуальные основы GAAP";0;0%
"Проектирование электронных средств";0;0%
"Курсовая работа по одной из учебных дисциплин модуля 1.6";0;0%
Управленческая;0;0%
"Организация производства и безопасность технологических процессов";0;0%
"Деятельность небанковских финансовых организаций";0;0%
"Стратегическое управление организацией";0;0%
"Проектное финансирование";0;0%
"Социальное и медицинское право";0;0%
"Международное частное право";0;0%
"Введение в анализ данных";0;0%
"Система управления контентом / SEO-оптимизация и юзабилити";0;0%
Риторика;0;0%
"Инженерно-техническое оборудование зданий и сооружений";0;0%
"Автомобильный контроль";0;0%
"Теоретические основы экологического воспитания детей дошкольного возраста";0;0%
"Основы профессиональной коммуникации / Этика";0;0%
"Обслуживание электромобилей";0;0%
Технологическая;0;0%
"Учебно-исследовательская работа студента";0;0%
"Психология одаренности и девиантного поведения детей и подростков";0;0%
"Цветоведение и колористика";0;0%
"Анализ и упорядочение исходных данных при статистической обработке результатов н";0;0%
"Курсовой проект по учебной дисциплине ""Технология строительного производства""";0;0%
